172.16.68.1, 1031000, up, echo-reply, 127.0, None, 2761469, Tue Oct  3 14:41:56 2017, None, 2, 254, Good luck!, Incremental, 100HZ, 4133.0, 2591.0, 100000.0, 113, tcp, 8.58, 
172.16.68.2, 1031000, up, echo-reply, 127.0, jiit-main.pdc.jiit, None, None, None, 2, 254, Good luck!, Incremental, zero timestamp, 6045.0, 4931.0, 100000.0, 113, tcp, 8.620000000000001, 
172.16.68.4, 1031000, up, echo-reply, 127.0, None, None, None, None, 2, 255, Good luck!, Incremental, zero timestamp, 5933.0, 4781.0, 100000.0, 113, tcp, 20.44, 
172.16.68.5, 1031000, up, echo-reply, 127.0, symantec.pdc.jiit, None, None, None, 2, 250, Good luck!, Busy server or unknown class, zero timestamp, 3910.0, 2334.0, 100000.0, 113, tcp, 8.57, 
172.16.68.6, 1031000, up, echo-reply, 63.0, None, None, None, 996, 2, 245, Good luck!, All zeros, none returned (unsupported), 3240.0, 2033.0, 100000.0, 22, tcp, 12.33, 
172.16.68.8, 1031000, up, echo-reply, 127.0, jiitwebsite.pdc.jiit, 6477837, Mon Aug 21 14:22:28 2017, None, 2, 243, Good luck!, Incremental, 100HZ, 5165.0, 5167.0, 100000.0, 113, tcp, 20.42, 
172.16.68.9, 1031000, up, echo-reply, 127.0, license-server.pdc.jiit, None, None, None, 2, 252, Good luck!, Incremental, zero timestamp, 4758.0, 2776.0, 100000.0, 113, tcp, 8.54, 
172.16.68.10, 1031000, up, echo-reply, 127.0, None, 6477546, Mon Aug 21 14:27:19 2017, None, 2, 253, Good luck!, Busy server or unknown class, 100HZ, 5510.0, 4564.0, 100000.0, 113, tcp, 19.29, 
172.16.68.11, 1031000, up, echo-reply, 63.0, linux, 1502056, Wed Oct 18 04:32:09 2017, 982, 2, 188, Good luck!, All zeros, other, 11195.0, 15961.0, 100000.0, 80, tcp, 54.31, 
172.16.68.13, 1031000, up, echo-reply, 127.0, jbsnameserver.pdc.jiit, 589436, Sat Oct 28 18:02:29 2017, None, 2, 250, Good luck!, Incremental, 100HZ, 5010.0, 4848.0, 100000.0, 113, tcp, 19.29, 
172.16.68.14, 1031000, up, echo-reply, 127.0, oracle.pdc.jiit, None, None, None, 2, 255, Good luck!, Incremental, zero timestamp, 13485.0, 19058.0, 100000.0, 113, tcp, 75.29, 
172.16.68.15, 1031000, up, echo-reply, 63.0, None, None, None, 996, 2, 255, Good luck!, All zeros, none returned (unsupported), 6585.0, 3711.0, 100000.0, 22, tcp, 15.190000000000001, 
172.16.68.18, 1031000, up, reset, 127.0, counselling.pdc.jiit, 10099471, Mon Jul 10 16:21:54 2017, None, 2, 259, Good luck!, Incremental, 100HZ, 6275.0, 4779.0, 100000.0, 113, tcp, 10.16, 
172.16.68.19, 1031000, up, echo-reply, 127.0, crlog.pdc.jiit, 2581306, Thu Oct  5 16:44:39 2017, None, 2, 250, Good luck!, Incremental, 100HZ, 4439.0, 2474.0, 100000.0, 113, tcp, 10.14, 
172.16.68.21, 891000, up, echo-reply, 63.0, None, None, None, 1000, 2, None, None, None, None, 5979.0, 4029.0, 100000.0, None, icmp, 13.190000000000001, 
172.16.68.22, 891000, up, echo-reply, 63.0, None, None, None, 1000, 2, None, None, None, None, 5946.0, 3896.0, 100000.0, None, icmp, 12.74, 
172.16.68.25, 1031000, up, echo-reply, 63.0, None, 1037507, Mon Oct 23 13:34:38 2017, None, 2, 257, Good luck!, Incrementing by 2, 100HZ, 3404.0, 1687.0, 100000.0, 113, tcp, 11.100000000000001, 
172.16.68.29, 1031000, up, echo-reply, 254.0, None, None, None, None, 2, None, None, None, None, 2881.0, 1629.0, 100000.0, 113, tcp, 7.96, 
172.16.68.30, 1031000, up, echo-reply, 127.0, fileserver2.pdc.jiit, 2762149, Tue Oct  3 14:30:36 2017, None, 2, 251, Good luck!, Busy server or unknown class, 100HZ, 4649.0, 2874.0, 100000.0, 113, tcp, 11.05, 
172.16.68.31, 1031000, up, echo-reply, 127.0, fileserver.pdc.jiit, None, None, None, 2, 250, Good luck!, Incremental, zero timestamp, 9625.0, 15564.0, 100000.0, 113, tcp, 64.92999999999999, 
172.16.68.32, 1031000, up, echo-reply, 63.0, None, 3114393, Fri Sep 29 12:39:52 2017, None, 2, 254, Good luck!, Incrementing by 2, 100HZ, 4735.0, 2887.0, 100000.0, 113, tcp, 10.99, 
